# This document produced by structureHarvester core version vB.1 July 2022
# http://www.structureharvester.com/
# https://github.com/dentearl/structureHarvester/
# http://taylor0.biology.ucla.edu/structureHarvester
# http://users.soe.ucsc.edu/~dearl/software/structureHarvester
# Written by Dent Earl, dearl (a) soe ucsc edu.
# CITATION:
# Earl, Dent A. and vonHoldt, Bridgett M. (2012)
# STRUCTURE HARVESTER: a website and program for visualizing
# STRUCTURE output and implementing the Evanno method.
# Conservation Genetics Resources 4(2) 359-361. DOI: 10.1007/s12686-011-9548-7
# Core version: vB.1 July 2022
# File generated at 2024-Sep-10 17:34:48 EEST
#

##########
# K	Reps	mean est. LnP(Data)	stdev est. LnP(Data)
1	20	-2098.160000	0.472841
2	20	-924.610000	3.238567
3	20	-973.150000	22.125658
4	20	-941.110000	286.284055
5	20	-866.805000	100.478002
6	20	-903.555000	199.750812
7	20	-848.395000	4.789075
8	20	-861.715000	54.475888
9	20	-853.320000	8.496662
10	20	-852.725000	6.277267

##########
# File name	Run #	K	Est. Ln prob. of data	Mean value of Ln likelihood	Variance of Ln likelihood
100K+_run_148_f	148	8	-861.3	-754.5	213.7
100K+_run_142_f	142	8	-843.1	-758.6	168.9
100K+_run_146_f	146	8	-1092.4	-764.2	656.2
100K+_run_156_f	156	8	-847.2	-759.1	176.3
100K+_run_158_f	158	8	-846.5	-757.4	178.1
100K+_run_152_f	152	8	-845.1	-755.0	180.2
100K+_run_141_f	141	8	-850.7	-756.2	189.0
100K+_run_145_f	145	8	-856.0	-757.4	197.2
100K+_run_160_f	160	8	-847.7	-756.9	181.7
100K+_run_155_f	155	8	-844.7	-756.4	176.7
100K+_run_151_f	151	8	-846.7	-757.0	179.3
100K+_run_144_f	144	8	-848.3	-756.1	184.2
100K+_run_154_f	154	8	-848.7	-758.1	181.3
100K+_run_150_f	150	8	-849.7	-757.3	184.8
100K+_run_143_f	143	8	-851.8	-754.4	194.8
100K+_run_149_f	149	8	-848.5	-758.5	179.9
100K+_run_147_f	147	8	-846.8	-757.0	179.7
100K+_run_157_f	157	8	-850.8	-755.7	190.1
100K+_run_153_f	153	8	-857.0	-756.4	201.2
100K+_run_159_f	159	8	-851.3	-754.4	193.9
100K+_run_69_f	69	4	-844.0	-748.3	191.4
100K+_run_63_f	63	4	-857.7	-746.9	221.5
100K+_run_80_f	80	4	-865.9	-745.8	240.1
100K+_run_67_f	67	4	-853.5	-746.2	214.6
100K+_run_77_f	77	4	-848.9	-749.3	199.1
100K+_run_79_f	79	4	-836.7	-750.5	172.5
100K+_run_73_f	73	4	-843.4	-749.5	187.6
100K+_run_64_f	64	4	-839.8	-750.3	178.9
100K+_run_74_f	74	4	-854.8	-746.0	217.6
100K+_run_70_f	70	4	-853.0	-747.9	210.3
100K+_run_61_f	61	4	-833.6	-750.4	166.3
100K+_run_65_f	65	4	-1933.2	-784.2	2298.0
100K+_run_75_f	75	4	-866.0	-745.7	240.7
100K+_run_71_f	71	4	-860.7	-745.0	231.2
100K+_run_62_f	62	4	-847.6	-748.8	197.7
